Rank,year,title,letterboxd_url
431,1962,What Ever Happened to Baby Jane?,https://letterboxd.com/film/what-ever-happened-to-baby-jane/
432,1983,Sans Soleil,https://letterboxd.com/film/sans-soleil/
433,1982,Koyaanisqatsi,https://letterboxd.com/film/koyaanisqatsi/
434,1972,The New Land,https://letterboxd.com/film/the-new-land/
435,1965,Doctor Zhivago,https://letterboxd.com/film/doctor-zhivago/
436,1993,The Piano,https://letterboxd.com/film/the-piano/
437,1969,The Color of Pomegranates,https://letterboxd.com/film/the-color-of-pomegranates/
438,1971,Walkabout,https://letterboxd.com/film/walkabout/
439,1995,Se7en,https://letterboxd.com/film/se7en/
440,1950,The Gunfighter,https://letterboxd.com/film/the-gunfighter/
441,1963,The Birds,https://letterboxd.com/film/the-birds/
442,1953,Stalag 17,https://letterboxd.com/film/stalag-17/
443,1999,American Beauty,https://letterboxd.com/film/american-beauty/
444,1932,Grand Hotel,https://letterboxd.com/film/grand-hotel/
445,1959,Black Orpheus,https://letterboxd.com/film/black-orpheus/
446,1942,Yankee Doodle Dandy,https://letterboxd.com/film/yankee-doodle-dandy/
447,1969,The Cremator,https://letterboxd.com/film/the-cremator/
448,1953,Monsieur Hulot's Holiday,https://letterboxd.com/film/monsieur-hulots-holiday/
449,1987,The Last Emperor,https://letterboxd.com/film/the-last-emperor/
450,1964,Band of Outsiders,https://letterboxd.com/film/band-of-outsiders/
451,1987,Wings of Desire,https://letterboxd.com/film/wings-of-desire/
452,1935,Captain Blood,https://letterboxd.com/film/captain-blood/
453,1947,Miracle on 34th Street,https://letterboxd.com/film/miracle-on-34th-street/
454,1933,The Invisible Man,https://letterboxd.com/film/the-invisible-man/
455,1982,Tootsie,https://letterboxd.com/film/tootsie/
456,1986,Hannah and Her Sisters,https://letterboxd.com/film/hannah-and-her-sisters/
457,1952,Forbidden Games,https://letterboxd.com/film/forbidden-games-1952/
458,1993,Three Colours: Blue,https://letterboxd.com/film/three-colours-blue/
459,1982,The King of Comedy,https://letterboxd.com/film/the-king-of-comedy/
460,1935,Ruggles of Red Gap,https://letterboxd.com/film/ruggles-of-red-gap/
461,1987,Where Is the Friend's House?,https://letterboxd.com/film/where-is-the-friends-house/
462,1970,Five Easy Pieces,https://letterboxd.com/film/five-easy-pieces/
463,1946,Paisan,https://letterboxd.com/film/paisan/
464,1975,The Travelling Players,https://letterboxd.com/film/the-travelling-players/
465,2000,Werckmeister Harmonies,https://letterboxd.com/film/werckmeister-harmonies/
466,1926,The Adventures of Prince Achmed,https://letterboxd.com/film/the-adventures-of-prince-achmed/
467,1956,The Burmese Harp,https://letterboxd.com/film/the-burmese-harp/
468,1977,3 Women,https://letterboxd.com/film/3-women/
469,1954,Journey to Italy,https://letterboxd.com/film/journey-to-italy/
470,1955,Diabolique,https://letterboxd.com/film/diabolique-1955/
471,1958,Ashes and Diamonds,https://letterboxd.com/film/ashes-and-diamonds/
472,1921,The Phantom Carriage,https://letterboxd.com/film/the-phantom-carriage/
473,2007,There Will Be Blood,https://letterboxd.com/film/there-will-be-blood/
474,1997,L.A. Confidential,https://letterboxd.com/film/la-confidential/
475,1961,A Raisin in the Sun,https://letterboxd.com/film/a-raisin-in-the-sun/
476,1974,The Texas Chain Saw Massacre,https://letterboxd.com/film/the-texas-chain-saw-massacre/
477,1986,Aliens,https://letterboxd.com/film/aliens/
478,1947,Odd Man Out,https://letterboxd.com/film/odd-man-out/
479,1984,The Killing Fields,https://letterboxd.com/film/the-killing-fields/
480,1961,Victim,https://letterboxd.com/film/victim/
481,1995,Braveheart,https://letterboxd.com/film/braveheart/
482,1945,I Know Where I'm Going!,https://letterboxd.com/film/i-know-where-im-going/
483,1969,The Witness,https://letterboxd.com/film/the-witness/
484,1948,"Germany, Year Zero",https://letterboxd.com/film/germany-year-zero/
485,1967,Dont Look Back,https://letterboxd.com/film/dont-look-back-1967/
486,2002,City of God,https://letterboxd.com/film/city-of-god/
487,1959,The Great War,https://letterboxd.com/film/the-great-war/
488,1984,Threads,https://letterboxd.com/film/threads/
489,1983,L'Argent,https://letterboxd.com/film/largent-1983/
490,1993,In the Name of the Father,https://letterboxd.com/film/in-the-name-of-the-father-1993/
491,1927,Wings,https://letterboxd.com/film/wings/
492,1983,Terms of Endearment,https://letterboxd.com/film/terms-of-endearment/
493,1923,Our Hospitality,https://letterboxd.com/film/our-hospitality/
494,1979,The Marriage of Maria Braun,https://letterboxd.com/film/the-marriage-of-maria-braun/
495,1968,The Lion in Winter,https://letterboxd.com/film/the-lion-in-winter/
496,1962,Il Sorpasso,https://letterboxd.com/film/il-sorpasso/
497,1956,Written on the Wind,https://letterboxd.com/film/written-on-the-wind/
498,1925,The Big Parade,https://letterboxd.com/film/the-big-parade/
499,1948,La Terra Trema,https://letterboxd.com/film/la-terra-trema/
500,1967,Dragon Inn,https://letterboxd.com/film/dragon-inn/
501,1957,A Face in the Crowd,https://letterboxd.com/film/a-face-in-the-crowd/
502,1968,Planet of the Apes,https://letterboxd.com/film/planet-of-the-apes/
503,2007,No Country for Old Men,https://letterboxd.com/film/no-country-for-old-men/
504,2023,20 Days in Mariupol,https://letterboxd.com/film/20-days-in-mariupol/
505,1973,The Wicker Man,https://letterboxd.com/film/the-wicker-man/
506,1962,L'Eclisse,https://letterboxd.com/film/leclisse/
507,1964,Goldfinger,https://letterboxd.com/film/goldfinger/
508,2011,A Separation,https://letterboxd.com/film/a-separation/
509,1966,The Face of Another,https://letterboxd.com/film/the-face-of-another/
510,1989,My Left Foot: The Story of Christy Brown,https://letterboxd.com/film/my-left-foot-the-story-of-christy-brown/
511,1960,Inherit the Wind,https://letterboxd.com/film/inherit-the-wind/
512,1982,Missing,https://letterboxd.com/film/missing/
513,1984,Nausicaä of the Valley of the Wind,https://letterboxd.com/film/nausicaa-of-the-valley-of-the-wind/
514,1967,Marketa Lazarová,https://letterboxd.com/film/marketa-lazarova/
515,1987,Nayakan,https://letterboxd.com/film/nayakan/
516,2024,Look Back,https://letterboxd.com/film/look-back-2024/
517,1959,Floating Weeds,https://letterboxd.com/film/floating-weeds/
518,1962,The Manchurian Candidate,https://letterboxd.com/film/the-manchurian-candidate/
519,1974,Young Frankenstein,https://letterboxd.com/film/young-frankenstein/
520,1971,Wake in Fright,https://letterboxd.com/film/wake-in-fright/
521,1995,Heat,https://letterboxd.com/film/heat-1995/
522,1954,The Crucified Lovers,https://letterboxd.com/film/the-crucified-lovers/
523,1984,Balkan Spy,https://letterboxd.com/film/balkan-spy/
524,1969,The Sorrow and the Pity,https://letterboxd.com/film/the-sorrow-and-the-pity-1969/
525,1981,My Dinner with Andre,https://letterboxd.com/film/my-dinner-with-andre/
526,2012,Amour,https://letterboxd.com/film/amour/
527,1941,Dumbo,https://letterboxd.com/film/dumbo/
528,1982,The Marathon Family,https://letterboxd.com/film/the-marathon-family/
529,1986,The Sacrifice,https://letterboxd.com/film/the-sacrifice/
530,1925,Seven Chances,https://letterboxd.com/film/seven-chances/
531,1935,A Tale of Two Cities,https://letterboxd.com/film/a-tale-of-two-cities/
532,1963,The Silence,https://letterboxd.com/film/the-silence/
533,1992,Reservoir Dogs,https://letterboxd.com/film/reservoir-dogs/
534,1935,A Night at the Opera,https://letterboxd.com/film/a-night-at-the-opera/
535,1979,Life of Brian,https://letterboxd.com/film/life-of-brian/
536,1947,Monsieur Verdoux,https://letterboxd.com/film/monsieur-verdoux/
537,1971,Fiddler on the Roof,https://letterboxd.com/film/fiddler-on-the-roof/
538,1951,Miracle in Milan,https://letterboxd.com/film/miracle-in-milan/
539,1967,The Producers,https://letterboxd.com/film/the-producers/
540,1949,A Letter to Three Wives,https://letterboxd.com/film/a-letter-to-three-wives/
541,1962,Sanjuro,https://letterboxd.com/film/sanjuro/
542,1945,Spellbound,https://letterboxd.com/film/spellbound/
543,1977,That Obscure Object of Desire,https://letterboxd.com/film/that-obscure-object-of-desire/
544,1967,Mouchette,https://letterboxd.com/film/mouchette/
545,1968,Oliver!,https://letterboxd.com/film/oliver/
546,1960,When a Woman Ascends the Stairs,https://letterboxd.com/film/when-a-woman-ascends-the-stairs/
547,1929,Diary of a Lost Girl,https://letterboxd.com/film/diary-of-a-lost-girl/
548,1995,Underground,https://letterboxd.com/film/underground-1995/
549,1994,Chungking Express,https://letterboxd.com/film/chungking-express/
550,1995,Before Sunrise,https://letterboxd.com/film/before-sunrise/
551,1964,The Train,https://letterboxd.com/film/the-train/
552,1966,Closely Watched Trains,https://letterboxd.com/film/closely-watched-trains/
553,2006,The Departed,https://letterboxd.com/film/the-departed/
554,1981,Mephisto,https://letterboxd.com/film/mephisto/
555,1984,The Terminator,https://letterboxd.com/film/the-terminator/
556,1990,Dances with Wolves,https://letterboxd.com/film/dances-with-wolves/
557,1922,"Dr. Mabuse, the Gambler",https://letterboxd.com/film/dr-mabuse-the-gambler/
558,1964,Fail Safe,https://letterboxd.com/film/fail-safe/
559,1965,Le Bonheur,https://letterboxd.com/film/happiness-1965/
560,1951,The Lavender Hill Mob,https://letterboxd.com/film/the-lavender-hill-mob/
561,1968,Funny Girl,https://letterboxd.com/film/funny-girl/
562,1954,A Star Is Born,https://letterboxd.com/film/a-star-is-born-1954/
563,1973,Mean Streets,https://letterboxd.com/film/mean-streets/
564,1988,Rain Man,https://letterboxd.com/film/rain-man/
565,1939,"Goodbye, Mr. Chips",https://letterboxd.com/film/goodbye-mr-chips/
566,1956,Invasion of the Body Snatchers,https://letterboxd.com/film/invasion-of-the-body-snatchers/
567,1936,Fury,https://letterboxd.com/film/fury/
568,1936,Swing Time,https://letterboxd.com/film/swing-time/
569,1965,Repulsion,https://letterboxd.com/film/repulsion/
570,1938,Port of Shadows,https://letterboxd.com/film/port-of-shadows/
571,1964,Hamlet,https://letterboxd.com/film/hamlet-1964-1/
572,1960,The Cloud-Capped Star,https://letterboxd.com/film/the-cloud-capped-star/
573,1940,The Letter,https://letterboxd.com/film/the-letter/
574,1965,Pierrot le Fou,https://letterboxd.com/film/pierrot-le-fou/
575,1951,The African Queen,https://letterboxd.com/film/the-african-queen/
576,1974,The Enigma of Kaspar Hauser,https://letterboxd.com/film/the-enigma-of-kaspar-hauser/
577,1983,Nostalgia,https://letterboxd.com/film/nostalgia-1983/
578,1945,A Tree Grows in Brooklyn,https://letterboxd.com/film/a-tree-grows-in-brooklyn/
579,1960,Eyes Without a Face,https://letterboxd.com/film/eyes-without-a-face/
580,1962,The Miracle Worker,https://letterboxd.com/film/the-miracle-worker/
581,1980,Atlantic City,https://letterboxd.com/film/atlantic-city/
582,1946,"Ivan the Terrible, Part II: The Boyars' Plot",https://letterboxd.com/film/ivan-the-terrible-part-ii-the-boyars-plot/
583,1960,The Bad Sleep Well,https://letterboxd.com/film/the-bad-sleep-well/
584,1977,Stroszek,https://letterboxd.com/film/stroszek/
585,1944,Going My Way,https://letterboxd.com/film/going-my-way/
586,1984,Love Streams,https://letterboxd.com/film/love-streams/
587,2001,Mulholland Drive,https://letterboxd.com/film/mulholland-drive/
588,1942,Bambi,https://letterboxd.com/film/bambi/
